date	home_team	away_team	winner	first_shooter
1984-12-15	Malawi	Zambia	Zambia	NULL
1984-12-16	Iran	Kuwait	Kuwait	NULL
1984-12-16	Chad	Equatorial Guinea	Chad	NULL
1984-12-19	Central African Republic	Gabon	Gabon	NULL
1984-12-20	Congo	Cameroon	Cameroon	NULL
1985-04-16	Mozambique	Malawi	Mozambique	NULL
1985-04-21	Madagascar	Egypt	Egypt	NULL
1985-07-10	Bahrain	Qatar	Bahrain	NULL
1985-07-12	Saudi Arabia	Qatar	Saudi Arabia	NULL
1985-08-25	Mali	Guinea	Guinea	NULL
1985-08-31	Mauritius	Reunion	Mauritius	NULL
1985-09-15	Mozambique	Libya	Mozambique	NULL
1985-10-11	Kenya	Uganda	Kenya	NULL
1985-12-15	Singapore	Malaysia	Singapore	NULL
1985-12-25	Pakistan	Nepal	Nepal	NULL
1985-12-25	Bangladesh	India	India	NULL
1986-03-21	Egypt	Cameroon	Egypt	NULL
1986-06-21	Brazil	France	France	Brazil
1986-06-21	Mexico	Germany	Germany	Germany
1986-06-22	Spain	Belgium	Belgium	Spain
1986-10-01	Saudi Arabia	Iraq	Saudi Arabia	NULL
1986-10-01	South Korea	Iran	South Korea	NULL
1986-10-01	United Arab Emirates	Indonesia	Indonesia	NULL
1986-10-01	Kuwait	China PR	Kuwait	NULL
1986-10-03	Saudi Arabia	Kuwait	Saudi Arabia	NULL
1986-10-19	Gabon	Angola	Angola	NULL
1986-12-17	Chad	Gabon	Chad	NULL
1987-03-01	Mali	Sierra Leone	Mali	NULL
1987-03-02	Senegal	Sierra Leone	Senegal	NULL
1987-06-19	Australia	Egypt	Australia	NULL
1987-06-21	South Korea	Australia	South Korea	NULL
1987-07-19	DR Congo	Senegal	DR Congo	NULL
1987-08-08	Ivory Coast	Madagascar	Ivory Coast	NULL
1987-08-09	Cameroon	Egypt	Egypt	NULL
1987-08-10	Kenya	Malawi	Malawi	NULL
1987-12-13	Malawi	Zimbabwe	Zimbabwe	NULL
1987-12-18	Equatorial Guinea	Gabon	Gabon	NULL
1987-12-27	Ethiopia	Zimbabwe	Ethiopia	NULL
1988-01-06	South Korea	Egypt	South Korea	NULL
1988-03-23	Algeria	Nigeria	Nigeria	NULL
1988-03-26	Morocco	Algeria	Algeria	NULL
1988-03-31	Germany	Sweden	Sweden	Sweden
1988-05-05	Mali	Senegal	Mali	NULL
1988-05-08	Guinea	Mali	Guinea	NULL
1988-05-28	Canada	Greece	Canada	NULL
1988-07-19	Egypt	Syria	Syria	NULL
1988-07-21	Iraq	Syria	Iraq	NULL
1988-09-29	Chile	Ecuador	Ecuador	NULL
1988-10-16	Eswatini	Tanzania	Eswatini	NULL
1988-12-06	Central African Republic	Gabon	Gabon	NULL
1988-12-17	China PR	Iran	Iran	NULL
1988-12-18	South Korea	Saudi Arabia	Saudi Arabia	South Korea
1989-04-23	Ghana	Gabon	Gabon	NULL
1989-04-23	Kenya	Sudan	Kenya	NULL
1989-08-30	Indonesia	Thailand	Indonesia	NULL
1989-11-08	Iran	Uganda	Uganda	NULL
1989-11-12	Iraq	Uganda	Iraq	NULL
1989-12-11	Chad	Cameroon	Cameroon	NULL
1989-12-16	Malawi	Uganda	Uganda	NULL
1990-01-28	Nigeria	Senegal	Nigeria	NULL
1990-02-04	United States	Colombia	Colombia	Colombia
1990-02-20	Colombia	Russia	Colombia	Colombia
1990-05-18	Zimbabwe	Eswatini	Zimbabwe	NULL
1990-06-25	Republic of Ireland	Romania	Republic of Ireland	Romania
1990-06-30	Yugoslavia	Argentina	Argentina	Argentina
1990-07-03	Italy	Argentina	Argentina	Italy
1990-07-04	Germany	England	Germany	England
1990-08-03	China PR	South Korea	South Korea	NULL
1990-10-01	Saudi Arabia	North Korea	North Korea	NULL
1990-10-06	Iran	North Korea	Iran	NULL
1990-12-17	Tanzania	Uganda	Uganda	NULL
1990-12-17	Central African Republic	Equatorial Guinea	Central African Republic	NULL
1991-01-21	Cameroon	Algeria	Cameroon	NULL
1991-01-21	Senegal	Ivory Coast	Ivory Coast	NULL
1991-01-22	Senegal	Algeria	Senegal	NULL
1991-01-23	Ivory Coast	Cameroon	Ivory Coast	NULL
1991-06-14	South Korea	Australia	South Korea	NULL
1991-06-16	Italy	Russia	Italy	Russia
1991-07-07	United States	Honduras	United States	United States
1991-08-08	Czechoslovakia	Yugoslavia	Czechoslovakia	NULL
1991-09-20	Fiji	Solomon Islands	Fiji	NULL
1991-09-28	Egypt	Mali	Egypt	NULL
1991-12-02	Indonesia	Singapore	Indonesia	NULL
1991-12-04	Indonesia	Thailand	Indonesia	NULL
1992-01-23	Cameroon	Ivory Coast	Ivory Coast	Ivory Coast
1992-01-26	Ghana	Ivory Coast	Ivory Coast	Ivory Coast
1992-06-22	Netherlands	Denmark	Denmark	Netherlands
1992-06-27	Cuba	Martinique	Martinique	NULL
1992-08-29	Japan	South Korea	Japan	NULL
1992-09-15	Syria	Egypt	Egypt	NULL
1992-11-08	China PR	United Arab Emirates	China PR	NULL
1992-11-25	Uganda	Zambia	Uganda	NULL
1993-01-23	Japan	Switzerland	Switzerland	NULL
1993-02-20	Finland	Estonia	Finland	NULL
1993-02-24	Argentina	Denmark	Argentina	Argentina
1993-05-27	Bolivia	Paraguay	Bolivia	NULL
1993-05-28	Martinique	Saint Kitts and Nevis	Martinique	NULL
1993-05-30	Jamaica	Martinique	Martinique	NULL
1993-06-17	Singapore	Myanmar	Singapore	NULL
1993-06-26	Colombia	Uruguay	Colombia	Colombia
1993-06-27	Brazil	Argentina	Argentina	Brazil
1993-07-01	Colombia	Argentina	Argentina	Colombia
1993-08-15	Australia	Canada	Australia	Australia
1993-10-24	Burundi	Guinea	Guinea	NULL
1993-12-26	Nepal	India	Nepal	NULL
1994-01-29	Burkina Faso	Guinea	Burkina Faso	NULL
1994-04-06	Nigeria	Ivory Coast	Nigeria	Nigeria
1994-07-05	Mexico	Bulgaria	Bulgaria	Mexico
1994-07-10	Romania	Sweden	Sweden	Sweden
1994-07-17	Brazil	Italy	Brazil	Italy
1994-12-08	Tanzania	Uganda	Tanzania	NULL
1995-01-10	Denmark	Mexico	Denmark	Denmark
1995-01-13	Mexico	Nigeria	Mexico	Nigeria
1995-02-26	Japan	South Korea	Japan	NULL
1995-03-31	India	Bangladesh	India	NULL
1995-05-21	Antigua and Barbuda	Saint Kitts and Nevis	Antigua and Barbuda	NULL
1995-06-09	Paraguay	Bolivia	Paraguay	NULL
1995-07-16	Paraguay	Colombia	Colombia	Colombia
1995-07-17	United States	Mexico	United States	United States
1995-07-17	Brazil	Argentina	Brazil	Brazil
1995-07-23	Uruguay	Brazil	Uruguay	Uruguay
1995-08-24	Fiji	Solomon Islands	Solomon Islands	NULL
1995-11-28	Mauritania	Sierra Leone	Sierra Leone	NULL
1995-12-02	Gabon	Cameroon	Cameroon	NULL
1995-12-02	Algeria	Ivory Coast	Ivory Coast	NULL
1995-12-06	Ethiopia	Zanzibar	Zanzibar	NULL
1995-12-07	Honduras	Costa Rica	Honduras	NULL
1995-12-25	Bangladesh	Sri Lanka	Bangladesh	NULL
1995-12-27	Sri Lanka	Nepal	Sri Lanka	NULL
1996-01-28	Gabon	Tunisia	Tunisia	Tunisia
1996-02-22	Japan	Sweden	Sweden	NULL
1996-04-28	Barbados	Jamaica	Jamaica	NULL
1996-05-05	Guyana	Suriname	Suriname	NULL
1996-06-05	Martinique	Suriname	Martinique	NULL
1996-06-22	England	Spain	England	England
1996-06-22	France	Netherlands	France	Netherlands
1996-06-26	France	Czech Republic	Czech Republic	France
1996-06-26	England	Germany	Germany	England
1996-08-25	Ethiopia	Uganda	Ethiopia	NULL
1996-11-29	Sudan	Kenya	Sudan	NULL
1996-12-11	Morocco	Croatia	Croatia	NULL
1996-12-12	Croatia	Czech Republic	Croatia	NULL
1996-12-19	Iran	Saudi Arabia	Saudi Arabia	Iran
1996-12-21	Iran	Kuwait	Iran	Kuwait
1996-12-21	United Arab Emirates	Saudi Arabia	Saudi Arabia	Saudi Arabia
1996-12-27	Benin	Burkina Faso	Benin	NULL
1997-02-07	Russia	Serbia	Russia	NULL
1997-04-10	India	Iraq	Iraq	NULL
1997-06-22	Ecuador	Mexico	Mexico	Ecuador
1997-07-10	Trinidad and Tobago	Jamaica	Trinidad and Tobago	NULL
1997-10-18	Indonesia	Thailand	Thailand	NULL
1997-10-20	Haiti	Cuba	Haiti	NULL
1997-10-22	Cuba	Cameroon	Cuba	NULL
1997-12-07	Gambia	Guinea	Guinea	NULL
1998-01-31	Egypt	South Korea	South Korea	NULL
1998-01-31	Iran	Chile	Iran	NULL
1998-02-21	Burkina Faso	Tunisia	Burkina Faso	Burkina Faso
1998-02-21	Ivory Coast	Egypt	Egypt	Ivory Coast
1998-02-27	Burkina Faso	DR Congo	DR Congo	DR Congo
1998-04-22	Hungary	North Macedonia	Hungary	NULL
1998-05-29	Belgium	England	Belgium	Belgium
1998-05-29	Morocco	France	Morocco	Morocco
1998-06-30	Argentina	England	Argentina	Argentina
1998-07-03	France	Italy	France	France
1998-07-07	Brazil	Netherlands	Brazil	Brazil
1998-08-15	Reunion	Madagascar	Reunion	NULL
1998-09-05	Indonesia	Thailand	Indonesia	NULL
1998-11-17	Guatemala	Honduras	Guatemala	NULL
1998-11-18	Guatemala	Mexico	Guatemala	NULL
1998-12-02	United Arab Emirates	North Korea	United Arab Emirates	NULL
1998-12-14	Qatar	Kuwait	Kuwait	NULL
1999-05-22	Malawi	Namibia	Namibia	NULL
1999-06-16	Thailand	New Zealand	Thailand	NULL
1999-06-19	New Zealand	Poland	Poland	NULL
1999-07-10	Mexico	Peru	Mexico	Mexico
1999-07-10	Paraguay	Uruguay	Uruguay	Uruguay
1999-07-13	Uruguay	Chile	Uruguay	Uruguay
1999-07-18	Eswatini	Zimbabwe	Eswatini	NULL
1999-07-31	Namibia	South Africa	Namibia	NULL
1999-08-03	Rwanda	Kenya	Kenya	NULL
1999-08-07	Rwanda	Burundi	Rwanda	NULL
1999-08-07	Zambia	Mozambique	Zambia	NULL
1999-08-14	Indonesia	Singapore	Indonesia	NULL
1999-08-28	Namibia	Eswatini	Namibia	NULL
1999-11-26	Gabon	Togo	Togo	NULL
2000-02-04	Romania	Georgia	Romania	NULL
2000-02-12	South Africa	Tunisia	South Africa	South Africa
2000-02-13	Nigeria	Cameroon	Cameroon	Nigeria
2000-02-19	United States	Colombia	Colombia	United States
2000-03-19	Suriname	Saint Lucia	Suriname	NULL
2000-04-29	British Virgin Islands	Sint Maarten	British Virgin Islands	NULL
2000-04-30	British Virgin Islands	Antigua and Barbuda	Antigua and Barbuda	NULL
2000-05-10	Maldives	Sri Lanka	Sri Lanka	NULL
2000-05-11	Senegal	Mali	Senegal	NULL
2000-05-20	Malawi	Angola	Angola	NULL
2000-05-21	Barbados	Cuba	Barbados	NULL
2000-06-04	France	Japan	France	France
2000-06-07	Iran	Egypt	Egypt	NULL
2000-06-11	Lesotho	Zambia	Lesotho	NULL
2000-06-29	Netherlands	Italy	Italy	Italy
2000-07-14	Libya	Chad	Libya	NULL
2000-07-16	Mozambique	Lesotho	Lesotho	NULL
2000-09-03	Togo	Sierra Leone	Togo	NULL
2000-10-04	United Arab Emirates	South Korea	United Arab Emirates	NULL
2000-10-28	Kenya	Uganda	Uganda	NULL
2000-12-02	Ethiopia	Rwanda	Ethiopia	NULL
2001-01-17	China PR	Egypt	Egypt	NULL
2001-01-27	South Korea	Paraguay	South Korea	NULL
2001-02-11	Eswatini	Zambia	Eswatini	NULL
2001-07-12	Ynys Mon	Jersey	Ynys Mon	NULL
2001-07-13	Guernsey	Ynys Mon	Guernsey	NULL
2001-07-29	Uruguay	Honduras	Honduras	Uruguay
2001-08-03	China PR	North Korea	North Korea	NULL
2001-08-03	Kuwait	Trinidad and Tobago	Kuwait	NULL
2001-08-05	Kuwait	North Korea	North Korea	NULL
2001-08-18	Zambia	Angola	Angola	NULL
2001-10-24	Kenya	Uganda	Kenya	NULL
2001-10-24	Tanzania	DR Congo	Tanzania	NULL
2001-12-18	Ethiopia	Burundi	Ethiopia	NULL
2002-01-06	Martinique	Haiti	Martinique	NULL
2002-01-26	Canada	Martinique	Canada	Canada
2002-01-27	Mexico	South Korea	South Korea	South Korea
2002-01-30	United States	Canada	United States	United States
2002-02-10	Senegal	Cameroon	Cameroon	Cameroon
2002-02-12	Cyprus	Switzerland	Cyprus	NULL
2002-02-15	China PR	Slovenia	Slovenia	NULL
2002-02-16	Thailand	North Korea	North Korea	NULL
2002-03-30	Botswana	South Africa	South Africa	NULL
2002-05-17	Russia	Belarus	Belarus	NULL
2002-05-19	Russia	Serbia	Serbia	NULL
2002-06-16	Spain	Republic of Ireland	Spain	Republic of Ireland
2002-06-22	South Korea	Spain	South Korea	South Korea
2002-07-21	South Africa	Madagascar	South Africa	NULL
2002-09-05	Iraq	Iran	Iraq	NULL
2002-09-07	Syria	Iran	Iran	NULL
2002-09-17	Iran	Morocco	Iran	NULL
2002-09-19	Iran	Paraguay	Iran	NULL
2002-10-23	Kenya	South Africa	Kenya	NULL
2002-10-26	Tanzania	South Africa	South Africa	NULL
2002-10-26	Kenya	Uganda	Kenya	NULL
2002-11-19	South Africa	Senegal	Senegal	NULL
2002-12-27	Niger	Burkina Faso	Burkina Faso	NULL
2002-12-29	Niger	Mali	Niger	NULL
2003-01-20	Bangladesh	Maldives	Bangladesh	NULL
2003-02-04	Uruguay	Iran	Uruguay	Iran
2003-03-07	Benin	Niger	Benin	NULL
2003-03-15	Guadeloupe	French Guiana	Guadeloupe	NULL
2003-03-22	Mozambique	Lesotho	Mozambique	NULL
2003-03-27	Tunisia	Ghana	Tunisia	NULL
2003-03-30	Ghana	Madagascar	Ghana	NULL
2003-05-24	Botswana	Malawi	Malawi	NULL
2003-07-09	New Caledonia	Vanuatu	New Caledonia	NULL
2003-08-16	Malawi	Zambia	Malawi	NULL
2003-09-24	Algeria	Gabon	Algeria	NULL
2003-09-26	Algeria	Burkina Faso	Algeria	NULL
2003-12-08	Kenya	Rwanda	Rwanda	NULL
2003-12-08	Sudan	Uganda	Uganda	NULL
2004-02-11	Tunisia	Nigeria	Tunisia	Tunisia
2004-02-19	Kazakhstan	Armenia	Kazakhstan	NULL
2004-02-28	Lesotho	Botswana	Botswana	NULL
2004-06-23	Jordan	Syria	Syria	NULL
2004-06-24	Portugal	England	Portugal	England
2004-06-26	Sweden	Netherlands	Netherlands	Sweden
2004-07-18	Angola	Botswana	Angola	NULL
2004-07-21	Uruguay	Brazil	Brazil	Brazil
2004-07-25	Argentina	Brazil	Brazil	Argentina
2004-07-30	Uzbekistan	Bahrain	Bahrain	Bahrain
2004-07-31	Japan	Jordan	Japan	Japan
2004-08-03	China PR	Iran	China PR	China PR
2004-10-22	Nigeria	Ecuador	Ecuador	NULL
2004-10-24	Zimbabwe	Zambia	Zambia	NULL
2004-11-20	Zambia	Angola	Angola	NULL
2004-11-30	Thailand	Estonia	Thailand	NULL
2004-11-30	Singapore	Hong Kong	Hong Kong	NULL
2004-12-02	Thailand	Slovakia	Slovakia	NULL
2004-12-03	Bahrain	Latvia	Bahrain	NULL
2004-12-03	Finland	Oman	Oman	NULL
2004-12-22	Ethiopia	Kenya	Ethiopia	NULL
2004-12-24	Qatar	Oman	Qatar	NULL
2005-02-08	Cyprus	Austria	Cyprus	NULL
2005-02-09	Austria	Latvia	Latvia	NULL
2005-02-27	Costa Rica	Honduras	Costa Rica	NULL
2005-04-16	Namibia	Botswana	Botswana	NULL
2005-05-15	Jersey	Guernsey	Guernsey	NULL
2005-06-26	Mexico	Argentina	Argentina	Mexico
2005-07-17	South Africa	Panama	Panama	Panama
2005-07-24	United States	Panama	United States	Panama
2005-07-28	Kuwait	United Arab Emirates	United Arab Emirates	NULL
2005-07-30	Egypt	United Arab Emirates	Egypt	NULL
2005-08-13	South Africa	Zambia	Zambia	NULL
2005-08-15	Ukraine	Israel	Israel	NULL
2005-11-16	Australia	Uruguay	Australia	Australia
2005-12-10	Syria	Iraq	Iraq	NULL
2005-12-10	Zanzibar	Uganda	Zanzibar	NULL
2006-02-04	Nigeria	Tunisia	Nigeria	Nigeria
2006-02-04	Cameroon	Ivory Coast	Ivory Coast	Cameroon
2006-02-10	Egypt	Ivory Coast	Egypt	Egypt
2006-02-28	Finland	Kazakhstan	Kazakhstan	NULL
2006-03-01	Finland	Belarus	Finland	NULL
2006-04-29	Lesotho	Mozambique	Lesotho	NULL
2006-04-30	Mauritius	Mozambique	Mozambique	NULL
2006-05-21	Botswana	South Africa	Botswana	NULL
2006-06-03	Northern Cyprus	Zanzibar	Northern Cyprus	NULL
2006-06-26	Switzerland	Ukraine	Ukraine	Ukraine
2006-06-30	Germany	Argentina	Germany	Germany
2006-07-01	England	Portugal	Portugal	Portugal
2006-07-09	Italy	France	Italy	Italy
2006-07-22	Namibia	Seychelles	Seychelles	NULL
2007-04-29	Mozambique	Zimbabwe	Mozambique	NULL
2007-05-06	Guernsey	Jersey	Jersey	NULL
2007-05-26	Malawi	South Africa	South Africa	NULL
2007-05-26	Eswatini	Mauritius	Mauritius	NULL
2007-07-10	Uruguay	Brazil	Brazil	Brazil
2007-07-21	Japan	Australia	Japan	Australia
2007-07-22	Iran	South Korea	South Korea	South Korea
2007-07-25	Iraq	South Korea	Iraq	South Korea
2007-07-28	South Korea	Japan	South Korea	South Korea
2007-07-29	Botswana	Angola	Botswana	NULL
2007-08-18	Mauritius	Mayotte	Mayotte	NULL
2007-08-18	Madagascar	Reunion	Reunion	NULL
2007-10-24	South Africa	Zambia	South Africa	NULL
2008-05-05	Jersey	Guernsey	Jersey	NULL
2008-06-20	Croatia	Turkey	Turkey	Croatia
2008-06-22	Spain	Italy	Spain	Spain
2008-07-27	Zambia	Zimbabwe	Zambia	NULL
2008-09-30	New Caledonia	Martinique	Martinique	NULL
2009-06-26	Provence	Sapmi	Sapmi	NULL
2009-07-23	Costa Rica	Mexico	Mexico	Mexico
2009-10-28	Zimbabwe	South Africa	Zimbabwe	NULL
2010-01-25	Zambia	Nigeria	Nigeria	Zambia
2010-05-21	Corsica	Gabon	Corsica	NULL
2010-06-29	Paraguay	Japan	Paraguay	Paraguay
2010-07-02	Uruguay	Ghana	Uruguay	Uruguay
2010-09-22	French Guiana	Mayotte	Mayotte	NULL
2010-09-23	Guadeloupe	New Caledonia	New Caledonia	NULL
2010-09-26	Guadeloupe	Tahiti	Tahiti	NULL
2010-09-29	New Caledonia	Tahiti	Tahiti	NULL
2010-10-02	Reunion	Martinique	Martinique	NULL
2011-01-25	Japan	South Korea	Japan	Japan
2011-02-08	Romania	Ukraine	Ukraine	NULL
2011-02-09	Sweden	Ukraine	Ukraine	NULL
2011-05-08	Guernsey	Jersey	Jersey	NULL
2011-06-08	Uruguay	Netherlands	Uruguay	Netherlands
2011-06-18	Costa Rica	Honduras	Honduras	Costa Rica
2011-06-19	Panama	El Salvador	Panama	Panama
2011-06-30	Isle of Man	Menorca	Menorca	NULL
2011-07-12	Saint Lucia	Aruba	Saint Lucia	NULL
2011-07-16	Argentina	Uruguay	Uruguay	Argentina
2011-07-17	Brazil	Paraguay	Paraguay	Brazil
2011-07-20	Paraguay	Venezuela	Paraguay	Paraguay
2011-08-11	Mayotte	Mauritius	Mauritius	NULL
2011-08-13	Seychelles	Mauritius	Seychelles	NULL
2012-02-05	Gabon	Mali	Mali	Gabon
2012-02-12	Zambia	Ivory Coast	Zambia	Ivory Coast
2012-06-03	Finland	Latvia	Latvia	Finland
2012-06-17	Mozambique	Tanzania	Mozambique	NULL
2012-06-24	England	Italy	Italy	Italy
2012-06-27	Portugal	Spain	Spain	Spain
2012-08-25	Alderney	Sealand	Sealand	NULL
2012-09-02	India	Cameroon	India	NULL
2012-09-29	Reunion	Martinique	Reunion	NULL
2012-10-13	Uganda	Zambia	Zambia	NULL
2012-11-21	Argentina	Brazil	Brazil	Argentina
2013-01-23	Sweden	North Korea	Sweden	NULL
2013-02-02	South Africa	Mali	Mali	South Africa
2013-02-06	Burkina Faso	Ghana	Burkina Faso	Ghana
2013-06-27	Spain	Italy	Spain	Italy
2013-06-30	Uruguay	Italy	Italy	Uruguay
2013-07-13	Zimbabwe	Malawi	Zimbabwe	NULL
2013-07-14	Angola	Lesotho	Lesotho	NULL
2013-07-17	Zambia	South Africa	Zambia	NULL
2014-05-05	Sealand	Chagos Islands	Chagos Islands	NULL
2014-05-29	Latvia	Estonia	Latvia	Estonia
2014-06-04	Abkhazia	South Ossetia	South Ossetia	NULL
2014-06-04	Ellan Vannin	Iraqi Kurdistan	Ellan Vannin	NULL
2014-06-05	Padania	Abkhazia	Padania	NULL
2014-06-05	Occitania	Iraqi Kurdistan	Iraqi Kurdistan	NULL
2014-06-07	Padania	Iraqi Kurdistan	Padania	NULL
2014-06-08	County of Nice	Ellan Vannin	County of Nice	NULL
2014-06-28	Brazil	Chile	Brazil	Brazil
2014-06-29	Costa Rica	Greece	Costa Rica	Costa Rica
2014-07-05	Netherlands	Costa Rica	Netherlands	Costa Rica
2014-07-09	Netherlands	Argentina	Argentina	Netherlands
2015-01-23	Iran	Iraq	Iraq	Iran
2015-01-23	Japan	United Arab Emirates	United Arab Emirates	Japan
2015-01-30	Curacao	Aruba	Aruba	NULL
2015-02-07	Equatorial Guinea	DR Congo	DR Congo	Equatorial Guinea
2015-02-08	Ivory Coast	Ghana	Ivory Coast	Ghana
2015-05-24	Zambia	Namibia	Namibia	NULL
2015-05-24	South Africa	Botswana	Botswana	NULL
2015-05-25	Mozambique	Malawi	Mozambique	NULL
2015-05-27	South Africa	Malawi	Malawi	NULL
2015-06-21	Ellan Vannin	Felvidek	Ellan Vannin	NULL
2015-06-26	Argentina	Colombia	Argentina	Colombia
2015-06-27	Brazil	Paraguay	Paraguay	Brazil
2015-07-02	Gibraltar	Aland Islands	Aland Islands	NULL
2015-07-04	Chile	Argentina	Chile	Chile
2015-07-19	Trinidad and Tobago	Panama	Panama	Panama
2015-07-25	United States	Panama	Panama	United States
2015-10-13	El Salvador	Guatemala	Guatemala	NULL
2016-05-27	Corsica	Basque Country	Basque Country	NULL
2016-06-01	United Koreans in Japan	Northern Cyprus	Northern Cyprus	NULL
2016-06-02	Iraqi Kurdistan	Padania	Padania	NULL
2016-06-03	Bosnia and Herzegovina	Denmark	Bosnia and Herzegovina	NULL
2016-06-03	Thailand	Syria	Thailand	NULL
2016-06-03	Vietnam	Hong Kong	Vietnam	NULL
2016-06-03	Iraqi Kurdistan	Western Armenia	Western Armenia	NULL
2016-06-03	Chagos Islands	Raetia	Raetia	NULL
2016-06-04	United Koreans in Japan	Iraqi Kurdistan	United Koreans in Japan	United Koreans in Japan
2016-06-05	Abkhazia	Panjab	Abkhazia	NULL
2016-06-11	Papua New Guinea	New Zealand	New Zealand	New Zealand
2016-06-17	Peru	Colombia	Colombia	Colombia
2016-06-18	Namibia	Botswana	Botswana	NULL
2016-06-18	South Africa	Lesotho	South Africa	NULL
2016-06-19	Zambia	Eswatini	Eswatini	NULL
2016-06-22	Botswana	DR Congo	Botswana	NULL
2016-06-25	Switzerland	Poland	Poland	Switzerland
2016-06-26	Argentina	Chile	Chile	Chile
2016-06-30	Poland	Portugal	Portugal	Portugal
2016-07-02	Germany	Italy	Germany	Italy
2016-08-01	Felvidek	Karpatalja	Felvidek	NULL
2017-01-11	Chile	Croatia	Chile	NULL
2017-01-14	China PR	Croatia	China PR	NULL
2017-01-28	Senegal	Cameroon	Cameroon	Senegal
2017-02-01	Burkina Faso	Egypt	Egypt	Egypt
